name,industry,region,employees,revenue,taxesPaid,registrationDate,status,address,phone,email
ООО "МосМаш",Машиностроение,Центральный,250,150000000,22500000,2020-01-15,active,"г. Москва, ул. Тверская, д. 10",+7 495 123-45-67,info@mosmash.ru
ЗАО "Пищепром",Пищевая промышленность,Северный,180,95000000,14250000,2019-03-22,active,"г. Москва, пр-т Ленинградский, д. 45",+7 495 234-56-78,contact@pishcheprom.ru
ООО "ХимТех",Химическая промышленность,Восточный,320,220000000,33000000,2018-07-10,active,"г. Москва, ш. Энтузиастов, д. 56",+7 495 345-67-89,office@himtech.ru
АО "ТекстильМос",Текстильная промышленность,Южный,150,65000000,9750000,2021-02-05,active,"г. Москва, Варшавское шоссе, д. 78",+7 495 456-78-90,sales@tekstilmos.ru
ООО "МетПром",Металлургия,Западный,420,380000000,57000000,2017-11-20,active,"г. Москва, Мичуринский пр-т, д. 12",+7 495 567-89-01,info@metprom.ru
ЗАО "Электроника Плюс",Электроника,Северо-Восточный,290,175000000,26250000,2020-06-18,active,"г. Москва, ш. Алтуфьевское, д. 33",+7 495 678-90-12,contact@electronika.ru
ООО "СтройМатериалы",Строительные материалы,Юго-Западный,200,120000000,18000000,2019-09-12,active,"г. Москва, Ленинский пр-т, д. 95",+7 495 789-01-23,office@stroymaterialy.ru
АО "ФармаМос",Фармацевтика,Центральный,380,450000000,67500000,2016-04-25,active,"г. Москва, ул. Пятницкая, д. 25",+7 495 890-12-34,info@pharmamos.ru
ООО "АвтоТех",Автомобилестроение,Северо-Западный,510,620000000,93000000,2015-08-30,active,"г. Москва, ш. Ленинградское, д. 71",+7 495 901-23-45,sales@avtotech.ru
ЗАО "Полиграф Центр",Полиграфия,Южный,95,48000000,7200000,2021-10-08,active,"г. Москва, Каширское ш., д. 61",+7 495 012-34-56,office@poligraf.ru

